"Player","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15"
"Mings"
"Firmino"
"Sagna","N/A","115","114","105","111","86","83","133","22"
"Adebayor","110","200","122","136","14","194","72","120","40"
"Gomes","N/A","N/A","133","148","108","0","0","0","N/A"
"Shawcross","N/A","N/A","110","108","92","118","123","108","92"
"Matic","N/A","N/A","N/A","2","0","54","90","N/A","N/A"
"Whelan","N/A","N/A","67","83","50","76","93","66","56"
"Knockaert","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13"
"Coloccini","N/A","N/A","74","97","112","51","82","80","N/A"
"Bony","N/A","N/A","N/A","N/A","N/A","N/A","N/A","158","108"
"Hendrie"
"Howard","164","147","159","137","124","151","117","160","84"
"Jovetic","N/A","N/A","N/A","N/A","N/A","N/A","N/A","34","62"
"Woodman","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Lascelles"
"Djilobodji"
"Turner","N/A","N/A","122","70","39","74","86","47","N/A"
"Di María","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","107"
"De Bruyne","N/A","N/A","N/A","N/A","N/A","N/A","0","7","N/A"
"Oxford","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Milner","114","84","128","184","97","86","96","67","107"
"Gomez"
"Hoban"
"Barrow","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17"
"Haidara","N/A","N/A","N/A","N/A","N/A","N/A","3","6","44"
"Mirallas","N/A","N/A","N/A","N/A","N/A","N/A","96","144","81"
"Allsop","N/A","N/A","0","0","0","N/A","N/A","N/A","N/A"
"Coutinho","N/A","N/A","N/A","N/A","N/A","N/A","70","114","134"
"Vergini","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24","95"
"Anichebe","38","42","28","26","19","44","95","62","57"
"Samuelsen"
"Matthews"
"Ramsey","N/A","N/A","13","56","18","105","83","146","116"
"Lanzini"
"Johnson","92","136","115","124","100","100","142","92","57"
"Pereira","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Toivonen"
"Borthwick-Jackson"
"Speroni","N/A","N/A","N/A","N/A","N/A","N/A","N/A","144","115"
"Mahrez","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","102"
"van Dijk"
"Soldado","N/A","N/A","N/A","N/A","N/A","N/A","N/A","100","36"
"Yedlin","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Pinto"
"Flamini","48","109","48","51","N/A","N/A","N/A","N/A","N/A"
"Hibbert","26","61","54","41","38","110","12","1","7"
"Williams","N/A","N/A","N/A","N/A","N/A","123","100","101","118"
"Afobe"
"Randall"
"Gibbs","0","0","17","5","7","61","93","89","76"
"Gestede","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3","N/A"
"Rodriguez","N/A","N/A","N/A","0","108","152","0","N/A","N/A"
"Bunn","N/A","N/A","0","0","5","7","60","0","N/A"
"Wollscheid","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26"
"Fernandinho","N/A","N/A","N/A","N/A","N/A","N/A","N/A","105","95"
"Origi"
"Lambert","N/A","N/A","N/A","N/A","N/A","N/A","187","179","50"
"Cole","16","144","58","73","38","0","45","43","25"
"Chiriches","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69","20"
"Sanogo","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8","19"
"Tettey","N/A","N/A","N/A","N/A","N/A","N/A","58","46","N/A"
"Depay"
"Elliott Bennett","N/A","N/A","N/A","N/A","N/A","76","47","3","N/A"
"Lee Chung-yong","N/A","N/A","N/A","105","99","2","3","N/A","N/A"
"Noble","37","86","87","79","78","98","125","89","N/A"
"Berghuis"
"Buckley","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","37"
"Forster","N/A","0","0","0","118","N/A","N/A","N/A","N/A"
"Butcher"
"Campbell","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4"
"Mbabu"
"Chester","N/A","N/A","0","56","82","N/A","N/A","N/A","N/A"
"Mason","N/A","N/A","N/A","N/A","N/A","N/A","0","75","N/A"
"Kramaric","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27"
"Butland","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5","15"
"Willian","N/A","N/A","N/A","N/A","N/A","N/A","N/A","82","104"
"Atsu","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9"
"Moreno","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","94"
